"","Time.ms","Load","Time.min","Session"
"16",80000,4,"1m20s","T1S1"
"31",155000,4,"2m35s","T1S1"
"35",175000,4,"2m55s","T1S1"
"46",230000,4,"3m50s","T1S1"
"47",235000,4,"3m55s","T1S1"
"57",285000,0,"4m45s","T1S1"
"64",320000,0,"5m20s","T1S1"
"65",325000,0,"5m25s","T1S1"
"69",345000,0,"5m45s","T1S1"
"70",350000,0,"5m50s","T1S1"
"71",355000,0,"5m55s","T1S1"
"72",360000,0,"6m0s","T1S1"
"75",375000,4,"6m15s","T1S1"
"84",420000,0,"7m0s","T1S1"
"85",425000,0,"7m5s","T1S1"
"88",440000,0,"7m20s","T1S1"
"89",445000,0,"7m25s","T1S1"
"97",485000,0,"8m5s","T1S1"
"110",550000,0,"9m10s","T1S1"
"112",560000,4,"9m20s","T1S1"
"115",575000,0,"9m35s","T1S1"
"116",580000,0,"9m40s","T1S1"
"122",610000,0,"10m10s","T1S1"
"123",615000,0,"10m15s","T1S1"
"124",620000,0,"10m20s","T1S1"
"125",625000,0,"10m25s","T1S1"
"138",690000,0,"11m30s","T1S1"
"139",695000,0,"11m35s","T1S1"
"140",7e+05,0,"11m40s","T1S1"
"141",705000,0,"11m45s","T1S1"
"144",720000,0,"12m0s","T1S1"
"145",725000,0,"12m5s","T1S1"
"151",755000,0,"12m35s","T1S1"
"152",760000,0,"12m40s","T1S1"
"153",765000,0,"12m45s","T1S1"
"158",790000,0,"13m10s","T1S1"
"159",795000,0,"13m15s","T1S1"
"164",820000,0,"13m40s","T1S1"
"168",840000,0,"14m0s","T1S1"
"169",845000,0,"14m5s","T1S1"
"178",890000,0,"14m50s","T1S1"
"179",895000,0,"14m55s","T1S1"
"182",910000,0,"15m10s","T1S1"
"183",915000,0,"15m15s","T1S1"
"184",920000,0,"15m20s","T1S1"
"187",935000,0,"15m35s","T1S1"
"199",995000,4,"16m35s","T1S1"
"200",1e+06,4,"16m40s","T1S1"
"201",1005000,4,"16m45s","T1S1"
"204",1020000,4,"17m0s","T1S1"
"206",1030000,4,"17m10s","T1S1"
"208",1040000,0,"17m20s","T1S1"
"223",1115000,0,"18m35s","T1S1"
"224",1120000,0,"18m40s","T1S1"
"225",1125000,0,"18m45s","T1S1"
"238",1190000,0,"19m50s","T1S1"
"241",1205000,4,"20m5s","T1S1"
"251",1255000,0,"20m55s","T1S1"
"252",1260000,0,"21m0s","T1S1"
"253",1265000,0,"21m5s","T1S1"
"254",1270000,0,"21m10s","T1S1"
"257",1285000,0,"21m25s","T1S1"
"264",1320000,0,"22m0s","T1S1"
"270",1350000,0,"22m30s","T1S1"
"271",1355000,0,"22m35s","T1S1"
"274",1370000,0,"22m50s","T1S1"
"275",1375000,0,"22m55s","T1S1"
"279",1395000,0,"23m15s","T1S1"
"280",1400000,0,"23m20s","T1S1"
"281",1405000,0,"23m25s","T1S1"
"282",1410000,0,"23m30s","T1S1"
"284",1420000,0,"23m40s","T1S1"
"299",1495000,0,"24m55s","T1S1"
"303",1515000,0,"25m15s","T1S1"
"308",1540000,0,"25m40s","T1S1"
"311",1555000,0,"25m55s","T1S1"
"312",1560000,0,"26m0s","T1S1"
"330",1650000,4,"27m30s","T1S1"
"331",1655000,4,"27m35s","T1S1"
"335",1675000,0,"27m55s","T1S1"
"339",1695000,4,"28m15s","T1S1"
"341",1705000,4,"28m25s","T1S1"
"346",1730000,4,"28m50s","T1S1"
"347",1735000,4,"28m55s","T1S1"
"357",1785000,0,"29m45s","T1S1"
"358",1790000,0,"29m50s","T1S1"
"359",1795000,0,"29m55s","T1S1"
"363",1815000,0,"30m15s","T1S1"
"384",1920000,0,"32m0s","T1S1"
"387",1935000,0,"32m15s","T1S1"
"388",1940000,0,"32m20s","T1S1"
"389",1945000,0,"32m25s","T1S1"
"390",1950000,0,"32m30s","T1S1"
"391",1955000,0,"32m35s","T1S1"
"392",1960000,0,"32m40s","T1S1"
"394",1970000,4,"32m50s","T1S1"
"408",2040000,0,"34m0s","T1S1"
"411",2055000,0,"34m15s","T1S1"
"427",2135000,4,"35m35s","T1S1"
"439",2195000,0,"36m35s","T1S1"
"456",2280000,0,"38m0s","T1S1"
"460",2300000,4,"38m20s","T1S1"
"473",2365000,0,"39m25s","T1S1"
"499",2495000,4,"41m35s","T1S1"
"508",2540000,4,"42m20s","T1S1"
"509",2545000,4,"42m25s","T1S1"
"514",2570000,4,"42m50s","T1S1"
"516",2580000,4,"43m0s","T1S1"
"537",2685000,4,"44m45s","T1S1"
"546",2730000,4,"45m30s","T1S1"
"550",2750000,4,"45m50s","T1S1"
"560",2800000,4,"46m40s","T1S1"
