Label,Level,Count
S2G1,FINISH,2
S2G2,FINISH,3
S2G3,FINISH,5
S3G1,FINISH,6
S3G2,FINISH,2
S3G4,FINISH,3
S3G5,FINISH,6
S4G1,FINISH,3
S4G2,FINISH,4
S4G3,FINISH,4
S4G4,FINISH,4
S4G5,FINISH,2
S6G1,FINISH,3
S6G2,FINISH,2
S6G3,FINISH,2
S6G4,FINISH,1
S6G5,FINISH,1
S2G1,UNFINISH,3
S2G2,UNFINISH,4
S2G3,UNFINISH,4
S3G1,UNFINISH,2
S3G2,UNFINISH,4
S3G4,UNFINISH,2
S3G5,UNFINISH,1
S4G1,UNFINISH,1
S4G2,UNFINISH,0
S4G3,UNFINISH,0
S4G4,UNFINISH,2
S4G5,UNFINISH,2
S6G1,UNFINISH,2
S6G2,UNFINISH,1
S6G3,UNFINISH,3
S6G4,UNFINISH,3
S6G5,UNFINISH,0
