Group,A1_S,A4_S,A4_E,M2_S,M2_E,M3_S,M3_E,M4_S,M4_E,M5_S,M5_E,M6_S,M6_E,M7_S,M7_E,M8_S,M8_E,M9_S,M9_E,M10_S,M10_E,M2_D,M3_D,M4_D,M5_D,M6_D,M7_D,M8_D,M9_D,M10_D,M2_ST,M3_ST,M4_ST,M5_ST,M6_ST,M7_ST,M8_ST,M9_ST,M10_ST,A1_D,A2_D,A3_D,A4_D
S2G1,469293,1886429,2353269,916334,1043148,NA,NA,1051805,1400287,NA,NA,1413173,1846533,NA,NA,NA,NA,1886429,2353269,NA,NA,126814,NA,348482,NA,433360,NA,NA,466840,NA,UN,NA,UN,NA,UN,NA,NA,FIN,NA,126814,348482,433360,466840
S2G2,370100,1784905,2213159,842644,971836,974043,1335493,NA,NA,NA,NA,1337114,1437718,NA,NA,NA,NA,1773996,2213159,NA,NA,129192,361450,NA,NA,100604,NA,NA,439163,NA,UN,UN,NA,NA,FIN,NA,NA,FIN,NA,129192,361450,100604,439163
S3G3,967700,2645800,3179508,1359806,1584214,1750705,1850250,NA,NA,NA,NA,2190848,2289331,2310575,2538574,NA,NA,2645800,2944345,2964926,3179508,224408,99545,NA,NA,98483,227999,NA,298545,214582,FIN,UN,NA,NA,FIN,FIN,NA,FIN,UN,224408,99545,326482,513127
S3G1,1034140,2986387,3168900,1379693,1718393,NA,NA,1910985,2361988,NA,NA,2399259,2473556,2479881,2616167,2629972,2650321,2986387,3168900,NA,NA,338700,NA,451003,NA,74297,136286,20349,182513,NA,FIN,NA,FIN,NA,FIN,FIN,FIN,FIN,NA,338700,451003,210583,182513
S3G2,1004362,2669635,3078150,1338589,1767587,NA,NA,NA,NA,NA,NA,1791468,2221738,NA,NA,2547392,2600974,2669635,3078150,NA,NA,428998,NA,NA,NA,430270,NA,53582,408515,NA,UNFIN,NA,NA,NA,FIN,NA,UNFIN,UNFIN,NA,428998,430270,53582,408515
S3G4,980352,3019230,3120677,1325566,1818238,NA,NA,NA,NA,2006150,2336042,1818238,1828004,2356605,2526017,NA,NA,NA,NA,3019230,3120677,492672,NA,NA,329892,9766,169412,NA,NA,101447,FIN,NA,NA,UNFIN,UNFIN,FIN,NA,NA,UNFIN,492672,339658,169412,101447
S3G5,969721,2586781,3001855,1257830,1621310,1732481,1750003,1937089,2195730,NA,NA,2277882,2369533,2378284,2565908,NA,NA,NA,NA,2586781,3001855,363480,17522,258641,NA,91651,187624,NA,NA,415074,FIN,UNFIN,FIN,NA,FIN,FIN,NA,NA,FIN,363480,276163,279275,415074
S4G1,2173886,NA,NA,NA,NA,2499368,3099740,NA,NA,NA,NA,3128110,3214574,3223256,3472341,NA,NA,NA,NA,NA,NA,NA,600372,NA,NA,86464,249085,NA,NA,NA,NA,FIN,NA,NA,FIN,FIN,NA,NA,NA,NA,600372,335549,NA
S4G2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4G3,2139585,NA,NA,NA,NA,2503345,2830994,2925906,3253576,NA,NA,NA,NA,NA,NA,NA,NA,3267683,3511988,NA,NA,NA,327649,327670,NA,NA,NA,NA,244305,NA,NA,FIN,FIN,NA,NA,NA,NA,FIN,NA,NA,327649,571975,NA
S4G4,2109554,NA,NA,NA,NA,2339400,3005274,NA,NA,NA,NA,3025247,3081343,NA,NA,3193218,3309998,NA,NA,NA,NA,NA,665874,NA,NA,56096,NA,116780,NA,NA,NA,FIN,NA,NA,FIN,NA,FIN,NA,NA,NA,665874,172876,NA
S4G5,2108789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2975616,3346617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371001,NA,NA,NA,NA,NA,NA,NA,NA,FIN,NA,NA,NA,NA,NA,371001,NA
S6G1,1774580,3071673,3420023,NA,NA,2430992,2663121,NA,NA,2663910,3066625,NA,NA,NA,NA,NA,NA,3071673,3420023,NA,NA,NA,232129,NA,402715,NA,NA,NA,348350,NA,NA,UNFIN,NA,FIN,NA,NA,NA,FIN,NA,NA,232129,402715,348350
S6G2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S6G3,1825552,3116585,3451651,NA,NA,2478083,2575661,2580134,2771244,2784947,3071783,NA,NA,NA,NA,NA,NA,3116585,3451651,NA,NA,NA,97578,191110,286836,NA,NA,NA,335066,NA,NA,UNFIN,UNFIN,FIN,NA,NA,NA,UNFIN,NA,NA,97578,477946,335066
S6G4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S6G5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
